unics_id,full_name
1215755,Aleksandra Maria Walczak
1213243,Jörg Rüpke
1216436,Jan Eeckhout
1211131,Charles BAROUD
1214181,Johan Åkerman
1212090,Jochen Brock Wacain Wolf
1213759,Christoph Weder
1216591,Torsten Erik Persson
1214292,Jeffrey Hubbell
1214853,Machiel Pieter De Jong
1213906,Emiliano Macaluso
1216146,Pål Rasmus Njølstad
1214008,Nava Setter
1209387,Grazyna Ewa Ptak
1216640,Ferdinando Rodriguez Y Baena
1210979,Alan John Kemp
1214239,Valerio Lucarini
1211628,Enrico Valdinoci
1217097,Paul Wolfgang Baumeister
1214919,Christa Renée Julie Emilia C. Maes
1210219,Pierre Gönczy
1209794,Margaret Elizabeth Sleeboom-Faulkner
1216404,Reinhold Kleiner
1212892,Viktor Kuncak
1215987,Nicholas Dionysios MAZARAKIS
1213854,Luke O'neill
1214696,Ulrike Kutay
1214164,Tony Gilbert Lelievre
1211878,Edward Hendrik Fokko De Haan
1217411,Jean Bernard Dalibard
1216868,Yrjö Helariutta
1215979,Jost Heiko Enninga
1216298,Alexandre Werner Geoffroy Gobert D'aspremont Lynden
1210195,Diether Lambrechts
1214899,Jeppe Vang Lauritsen
1210224,Hermann Eduard Gaub
1216988,Constantinos Skordis
1216601,Richard Tomasini
1215023,Andrzej Dziembowski
1214769,Sofia Ioana Pascu
1214176,Andris Ambainis
1217227,Satish Chandra Singh
1214835,Marcel Mechali
1213800,Andrew Jackson
1215960,Nicolas Charlet Berguerand
1215675,Julia Kempe
1217541,Serge Abiteboul
1214071,Alfonso Martinez Arias
1216506,Jean-Luc Starck
1216244,Bernd Bodenmiller
1211224,Julius Brennecke
1215515,Purificacion Lopez Garcia
1209532,Axel Behrens
1210153,Ming Cao
1211066,Davide Iannuzzi
1210286,Eliana La Ferrara
1209734,Kurosch Rezwan
1214070,Johannes Barth
1215571,Annele Kirsi Katriina Virtanen
1210826,Masooda Bano
1214028,Gary Marks
1213160,Zoltán TAKÁTS
1213312,Oliver Röhrle
1217073,Robert Charles Swanton
1216949,Maria A. Blasco
1213508,Mark Andrew Joseph Chaplain
1214173,Mark Edward Ladd
1209477,Aldo Pratelli
1213029,Carl Mikael Lindahl
1216653,Daniel John Kelly
1216095,Rachel Kerry O'reilly
1212317,Robert Plomin
1213802,Giuseppe Battaglia
1209147,Andreas Zezas
1212379,Pierre Leopold
1215550,Dorit Aharonov
1209272,Stephan Wolfgang Grill
1211082,Shana Jocette Sturla
1216876,Ferenc Simon
1217497,Ronald Van Rij
1209260,Terence Austen Brown
1209118,Ben Lehner
1210423,Bertrand Philippe Meyer
1209216,Thomas Mariotti
1212836,Harold Maurice Collins
1214249,Marco Sandri
1214033,Willem Schinkel
1213880,Mirko Trajkovski
1212107,Davide Iannuzzi
1209989,Leon Johannes De Windt
